Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
2023-09-15,ECU,FORTICA,2023-01-24T23:00:00Z,2023-11-02T20:00:00Z,TUNA_PURSE_SEINES,FISHING,735058781,,HC5135,2020-06-11T14:00:40Z,2024-11-12T23:59:45Z,2.87
2023-09-16,PAN,DIVA MARIA,2023-09-16T16:00:00Z,2023-09-16T19:00:00Z,TUNA_PURSE_SEINES,FISHING,371224000,7915917,3EBT3,2012-02-13T14:44:56Z,2024-11-12T23:55:12Z,3.01
2023-09-23,ECU,DON F,2023-06-19T22:00:00Z,2023-10-05T13:00:00Z,TUNA_PURSE_SEINES,FISHING,735060354,,HC6655,2023-05-08T22:41:27Z,2024-11-12T23:58:56Z,0.35
2023-08-16,ECU,JOTA JOTA,2023-04-07T06:00:00Z,2023-10-01T19:00:00Z,DRIFTING_LONGLINES,FISHING,735058780,,HC2508,2022-01-03T17:28:38Z,2024-11-12T23:56:26Z,0.18
2023-09-27,NIC,MARIA EULOGIA,2023-06-18T21:00:00Z,2023-09-27T14:00:00Z,TUNA_PURSE_SEINES,FISHING,350108000,8003254,,2012-01-03T05:27:06Z,2024-06-08T14:22:56Z,2.81
2023-10-17,ECU,DON IGILIO,2023-06-17T16:00:00Z,2023-10-27T20:00:00Z,TUNA_PURSE_SEINES,FISHING,735060108,,HC6468,2020-11-13T20:49:01Z,2024-10-14T17:34:25Z,3.37
2023-11-23,ECU,GRINGA JACKY,2023-10-18T18:00:00Z,2023-12-28T16:00:00Z,FISHING,FISHING,735059445,,HC-5897,2023-08-20T04:07:54Z,2024-11-09T22:16:13Z,1.84
2023-11-04,ECU,INGRITH,2023-02-28T18:00:00Z,2023-12-19T01:00:00Z,FISHING,FISHING,735058968,,HC5284,2019-02-24T03:53:03Z,2024-11-12T21:12:23Z,2.00
2023-11-10,VEN,CANAIMA,2023-02-07T23:00:00Z,2023-11-10T15:00:00Z,TUNA_PURSE_SEINES,FISHING,775068000,7123485,YYEM,2020-12-30T20:36:14Z,2024-05-01T15:24:35Z,0.17
2023-12-29,ECU,LA AHIJADA,2023-10-11T23:00:00Z,2023-12-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,735055123,,HC4047,2023-10-07T15:51:34Z,2024-11-12T17:04:05Z,18.86
2023-01-24,PAN,UPAR,2023-01-01T20:00:00Z,2023-01-24T22:00:00Z,TUNA_PURSE_SEINES,FISHING,372165000,7342304,HP9811,2020-12-02T19:38:50Z,2024-10-27T12:51:22Z,10.77
2023-01-24,ECU,TINTORERA,2023-01-03T13:00:00Z,2023-04-15T17:00:00Z,FISHING,FISHING,735059515,,HC-5964,2020-05-31T16:10:36Z,2024-03-08T18:17:43Z,4.75
2023-01-12,ECU,DONA ROGE,2023-01-10T10:00:00Z,2023-10-07T11:00:00Z,TUNA_PURSE_SEINES,FISHING,735057685,,HC4301,2020-09-07T16:27:31Z,2024-10-21T03:13:40Z,0.85
2023-02-18,ECU,OSIRIS,2023-02-18T13:00:00Z,2023-11-07T06:00:00Z,FISHING,FISHING,735059862,,HC6294,2022-09-05T23:19:18Z,2023-11-08T23:00:43Z,5.58
2023-03-22,ECU,OSIRIS,2023-02-18T13:00:00Z,2023-11-07T06:00:00Z,FISHING,FISHING,735059862,,HC6294,2022-09-05T23:19:18Z,2023-11-08T23:00:43Z,1.93
2023-05-11,ECU,JOTA JOTA,2023-04-07T06:00:00Z,2023-10-01T19:00:00Z,DRIFTING_LONGLINES,FISHING,735058780,,HC2508,2022-01-03T17:28:38Z,2024-11-12T23:56:26Z,4.17
2023-06-14,ECU,MI ANTONELLA,2023-06-13T08:00:00Z,2023-06-15T13:00:00Z,DRIFTING_LONGLINES,FISHING,735059855,,HC6288,2023-05-20T20:55:34Z,2023-06-17T14:06:24Z,1.07
2023-09-16,ECU,FORTICA,2023-01-24T23:00:00Z,2023-11-02T20:00:00Z,TUNA_PURSE_SEINES,FISHING,735058781,,HC5135,2020-06-11T14:00:40Z,2024-11-12T23:59:45Z,0.31
2023-09-28,ECU,AIDEE,2023-04-06T15:00:00Z,2023-11-24T05:00:00Z,TUNA_PURSE_SEINES,FISHING,735059463,,HC5568,2017-05-02T15:24:35Z,2024-11-12T23:58:24Z,1.50
2023-09-08,ECU,LIBERTAD I,2023-01-07T16:00:00Z,2023-12-16T18:00:00Z,FISHING,FISHING,735059882,,HC6313,2019-01-22T17:02:51Z,2024-11-12T18:01:05Z,18.78
2023-10-05,ECU,DON F,2023-06-19T22:00:00Z,2023-10-05T13:00:00Z,TUNA_PURSE_SEINES,FISHING,735060354,,HC6655,2023-05-08T22:41:27Z,2024-11-12T23:58:56Z,10.09
