Lat,Lon,Time Range,flag,Vessel IDs,Apparent Fishing Hours
-0.610000,-90.760000,2023-04-01,ECU,1,0.38
-0.370000,-93.960000,2023-04-03,PAN,1,0.18
-0.940000,-93.680000,2023-04-12,ECU,1,0.42
-4.280000,-88.210000,2023-04-04,ECU,1,1.81
1.390000,-93.230000,2023-05-18,ECU,1,0.11
0.960000,-93.140000,2023-05-17,ECU,1,1.16
1.360000,-93.310000,2023-05-14,ECU,1,1.09
0.270000,-93.940000,2023-05-20,ECU,1,1.02
0.480000,-94.020000,2023-05-28,ECU,1,0.79
0.910000,-94.240000,2023-05-29,ECU,1,0.09
1.810000,-93.920000,2023-05-25,ECU,1,1.88
0.920000,-94.190000,2023-05-26,ECU,1,1.13
1.050000,-93.700000,2023-05-13,ECU,1,1.07
1.310000,-93.620000,2023-05-19,ECU,1,1.21
0.880000,-93.480000,2023-05-02,ECU,1,0.70
0.910000,-93.390000,2023-05-02,ECU,1,1.56
1.970000,-93.950000,2023-05-27,ECU,1,0.15
1.350000,-93.530000,2023-05-16,ECU,1,0.76
1.220000,-93.520000,2023-05-16,ECU,1,1.02
0.990000,-93.370000,2023-05-11,ECU,1,0.75
0.580000,-94.670000,2023-05-11,ECU,1,5.93
0.590000,-95.110000,2023-05-07,ECU,1,1.40
1.310000,-93.190000,2023-05-14,,2,1.93
1.210000,-93.180000,2023-05-15,,1,0.84
0.880000,-94.260000,2023-05-15,ECU,1,0.98
1.060000,-94.150000,2023-05-14,ECU,1,1.29
0.760000,-94.140000,2023-05-14,ECU,1,0.66
1.150000,-94.020000,2023-05-18,ECU,1,0.85
0.860000,-94.040000,2023-05-18,ECU,1,0.55
4.140000,-91.000000,2023-05-22,ECU,1,0.38
0.800000,-94.850000,2023-05-28,,1,1.00
0.940000,-93.240000,2023-05-19,ECU,1,1.00
0.340000,-89.960000,2023-05-10,ECU,1,0.17
2.190000,-89.870000,2023-06-20,ECU,1,0.99
1.090000,-87.570000,2023-06-06,ECU,1,0.99
1.960000,-87.580000,2023-06-23,ECU,1,0.07
-2.240000,-89.360000,2023-05-11,ECU,1,0.63
-2.960000,-86.930000,2023-05-16,NIC,1,1.02
-0.250000,-93.990000,2023-05-21,ECU,1,1.12
-2.510000,-90.820000,2023-05-03,ECU,1,0.91
-2.510000,-91.430000,2023-05-03,ECU,1,0.32
-0.780000,-89.520000,2023-05-24,ECU,1,2.21
-0.760000,-90.540000,2023-05-17,ECU,1,2.17
-0.330000,-86.020000,2023-05-27,ECU,1,1.00
-0.090000,-92.470000,2023-05-28,PAN,1,0.10
-0.470000,-93.120000,2023-05-27,PAN,1,0.87
-0.790000,-90.670000,2023-05-12,ECU,1,0.83
-0.400000,-90.470000,2023-05-08,ECU,1,1.00
-0.870000,-89.800000,2023-05-02,ECU,1,1.58
-0.150000,-94.650000,2023-05-16,ECU,1,1.21
-0.400000,-93.610000,2023-05-13,ECU,1,1.07
-0.260000,-91.370000,2023-05-31,ECU,1,0.55
-0.490000,-90.340000,2023-05-05,ECU,1,0.20
-0.410000,-90.960000,2023-05-23,ECU,1,1.25
0.700000,-93.950000,2023-06-03,ECU,1,0.96
0.590000,-95.050000,2023-06-08,ECU,1,0.29
0.970000,-95.180000,2023-06-11,ECU,1,0.96
0.860000,-94.900000,2023-06-10,ECU,1,1.54
0.380000,-94.700000,2023-06-24,ECU,1,0.90
0.010000,-94.680000,2023-06-23,ECU,1,0.80
0.360000,-94.660000,2023-06-24,ECU,1,1.20
3.160000,-93.960000,2023-06-19,ECU,1,1.00
1.350000,-95.180000,2023-06-15,ECU,1,0.16
2.340000,-93.060000,2023-06-12,ECU,1,1.00
3.220000,-94.600000,2023-06-13,ECU,1,0.97
2.990000,-92.800000,2023-06-11,ECU,1,2.90
2.860000,-92.940000,2023-06-11,ECU,1,0.42
1.040000,-93.340000,2023-06-30,ECU,1,0.96
1.080000,-93.100000,2023-06-30,ECU,1,0.47
2.620000,-93.890000,2023-06-12,ECU,1,0.00
2.640000,-93.730000,2023-06-12,ECU,1,0.82
-0.770000,-89.460000,2023-06-18,ECU,1,1.83
-0.790000,-89.530000,2023-06-24,ECU,1,1.25
-2.020000,-92.140000,2023-06-05,ECU,1,0.31
-3.730000,-90.250000,2023-06-29,ECU,1,0.83
-1.930000,-92.630000,2023-06-13,ECU,1,0.61
-0.350000,-94.220000,2023-06-21,ECU,1,0.17
-0.430000,-93.680000,2023-06-28,ECU,1,1.07
-0.500000,-93.880000,2023-06-13,ECU,1,0.65
-0.360000,-94.110000,2023-06-21,ECU,1,1.52
-0.730000,-93.400000,2023-06-29,ECU,1,0.27
-0.780000,-90.270000,2023-06-07,ECU,1,0.21
-0.770000,-89.500000,2023-06-22,ECU,1,1.52
-0.240000,-94.580000,2023-06-19,ECU,1,0.55
-0.120000,-94.950000,2023-06-18,ECU,1,0.95
-0.200000,-94.780000,2023-06-20,ECU,1,0.80
-0.130000,-94.640000,2023-06-23,ECU,1,1.05
-0.240000,-94.810000,2023-06-20,ECU,1,1.15
-3.430000,-92.270000,2023-06-05,ECU,1,1.01
-3.440000,-92.220000,2023-06-05,ECU,1,2.01
-0.070000,-94.560000,2023-06-11,ECU,1,1.00
-3.910000,-92.380000,2023-06-27,ECU,1,0.98
-1.140000,-93.870000,2023-06-26,ECU,1,1.67
-0.830000,-94.420000,2023-06-28,ECU,1,2.03
-0.510000,-94.620000,2023-06-29,ECU,1,0.79
-3.750000,-90.540000,2023-06-18,ECU,1,0.02
-0.030000,-95.050000,2023-06-11,ECU,1,1.05
-0.530000,-90.200000,2023-06-07,ECU,1,4.42
-2.950000,-93.190000,2023-06-27,ECU,1,0.99
-0.700000,-89.230000,2023-06-07,ECU,1,2.25
-1.100000,-89.880000,2023-06-24,ECU,1,21.96
-0.740000,-89.540000,2023-06-12,ECU,1,1.01
-0.180000,-94.470000,2023-06-21,ECU,1,0.33
-3.290000,-88.400000,2023-06-15,ECU,1,0.53
-1.650000,-93.630000,2023-06-16,ECU,1,2.03
-1.180000,-93.350000,2023-06-18,ECU,1,1.02
-0.390000,-94.350000,2023-06-23,ECU,1,0.96
-0.370000,-94.310000,2023-06-29,ECU,1,0.72
-0.240000,-94.350000,2023-06-25,ECU,1,0.61
-0.890000,-89.610000,2023-06-09,ECU,1,1.25
-0.710000,-91.330000,2023-06-26,ECU,1,2.55
-0.690000,-91.260000,2023-06-20,ECU,1,2.17
-0.810000,-89.530000,2023-06-09,ECU,1,0.66
-0.780000,-89.520000,2023-06-30,ECU,1,1.50
-0.780000,-89.510000,2023-06-15,ECU,1,0.20
2.490000,-93.350000,2023-07-07,,1,1.79
3.200000,-90.860000,2023-07-23,ECU,1,2.16
3.050000,-90.710000,2023-07-24,ECU,1,0.94
0.040000,-94.580000,2023-07-14,ECU,1,0.16
3.050000,-90.990000,2023-07-23,ECU,1,1.01
1.420000,-94.600000,2023-07-06,ECU,1,0.99
3.190000,-92.910000,2023-07-07,ECU,1,0.25
3.290000,-93.800000,2023-07-07,ECU,1,0.37
1.180000,-94.050000,2023-07-01,ECU,1,0.12
