year, month, first_day, last_day, mean_chl_seawifs, stdev_chl_seawifs, chl_anomaly_seawifs, pct_valid_chl_seawifs, mean_chl_aqua, stdev_chl_aqua, chl_anomaly_aqua, pct_valid_chl_aqua, mean_cdm_seawifs, stdev_cdm_seawifs, cdm_anomaly_seawifs, pct_valid_cdm_seawifs, mean_cdm_aqua, stdev_cdm_aqua, cdm_anomaly_aqua, pct_valid_cdm_aqua, mean_bbp_aqua, stdev_bbp_aqua, bbp_anomaly_aqua, pct_valid_bbp_aqua, mean_nsst_aqua, stdev_nsst_aqua, nsst_anomaly_aqua, pct_valid_nsst_aqua
1999,6,1,30,0.051630621,0.010236189,-0.003681057,97.45,-999,-999,-999,-999,0.005054922,0.00039313,-6.25E-05,97.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,7,1,31,0.065847767,0.02057907,0.009935459,97.21,-999,-999,-999,-999,0.005927918,0.000984296,0.000496028,97.21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,8,1,31,0.059370208,0.015051506,0.006777068,97.45,-999,-999,-999,-999,0.005836371,0.000844396,0.000624265,97.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,9,1,30,0.062793198,0.017431444,0.013832276,96.55,-999,-999,-999,-999,0.005826112,0.000726487,0.001128994,96.55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,10,1,31,0.065377963,0.022216873,0.018603193,96.36,-999,-999,-999,-999,0.005275192,0.000940648,0.000901826,96.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,11,1,30,0.062636762,0.022703784,0.017057484,73.82,-999,-999,-999,-999,0.004868352,0.000794932,0.000689332,73.82,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1999,12,1,31,0.054549674,0.023036349,0.008447829,87.09,-999,-999,-999,-999,0.004928086,0.000884477,0.000719304,87.03,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,1,1,31,0.050561348,0.021941257,0.00937593,83.33,-999,-999,-999,-999,0.004503999,0.000873016,0.000475655,83.27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,2,1,29,0.057258599,0.01683804,0.013227261,91.45,-999,-999,-999,-999,0.004681158,0.000598919,0.000571555,91.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,3,1,31,0.058305657,0.017438587,0.014939447,89.58,-999,-999,-999,-999,0.004530577,0.000535296,0.000448029,89.58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,4,1,30,0.053059143,0.013786458,0.008760403,97.33,-999,-999,-999,-999,0.004852421,0.000645919,0.000663927,97.33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,5,1,31,0.061714593,0.20156179,0.010812757,97.33,-999,-999,-999,-999,0.00532425,0.00054415,0.000707647,97.33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,6,1,30,0.062791144,0.012657316,0.007496959,97.39,-999,-999,-999,-999,0.005859332,0.000530647,0.000742191,97.39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,7,1,31,0.067806429,0.012891686,0.012557386,97.09,-999,-999,-999,-999,0.006422386,0.000501473,0.000994339,97.09,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,8,1,31,0.067601205,0.015517698,0.015008065,97.45,-999,-999,-999,-999,0.006457723,0.000487976,0.001245617,97.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,9,1,30,0.06010029,0.0127863,0.0111275,97.33,-999,-999,-999,-999,0.005756495,0.000489336,0.001059138,97.33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,10,1,31,0.055991349,0.031421229,0.009194081,96.61,-999,-999,-999,-999,0.005081846,0.000624189,0.000708843,96.61,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,11,1,30,0.049881609,0.016247085,0.004599926,90.12,-999,-999,-999,-999,0.004607376,0.000517602,0.000448548,90.12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2000,12,1,31,0.052057401,0.021097566,0.005850999,86.36,-999,-999,-999,-999,0.0048135,0.000823368,0.000604979,86.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,1,1,31,0.04695127,0.019454082,0.006362761,78.97,-999,-999,-999,-999,0.004388197,0.000550321,0.000390556,78.97,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,2,1,28,0.049505759,0.019366612,0.005421575,80.85,-999,-999,-999,-999,0.004366955,0.000753288,0.000247313,80.85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,3,1,31,0.044616565,0.015934722,0.001194747,97.39,-999,-999,-999,-999,0.003997345,0.000738937,-8.75E-05,97.39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,4,1,30,0.054150214,0.021338015,0.009927163,94.91,-999,-999,-999,-999,0.004483666,0.000840239,0.000301516,94.91,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,5,1,31,0.068669325,0.018222188,0.017746758,90.85,-999,-999,-999,-999,0.005712835,0.000785347,0.001083077,90.85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,6,1,30,0.063700153,0.013981366,0.008413353,97.21,-999,-999,-999,-999,0.005741838,0.000669292,0.000625161,97.21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,7,1,31,0.053900078,0.012286216,-0.001383065,97.39,-999,-999,-999,-999,0.005103687,0.000602599,-0.000326354,97.39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,8,1,31,0.056180189,0.015663642,0.003593627,97.27,-999,-999,-999,-999,0.005596115,0.000718156,0.000384657,97.27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,9,1,30,0.050053859,0.016190578,0.001051621,97.52,-999,-999,-999,-999,0.004949627,0.000500896,0.000250962,97.52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,10,1,31,0.045927576,0.010107828,-0.000873964,96.48,-999,-999,-999,-999,0.004750195,0.000405664,0.000376707,96.48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,11,1,30,0.056230113,0.018459191,0.010592957,69.94,-999,-999,-999,-999,0.004801905,0.000841812,0.000606678,69.88,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2001,12,1,31,0.057804001,0.02016263,0.009295961,49.7,-999,-999,-999,-999,0.004806748,0.000646699,0.000474758,49.64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2002,1,1,31,0.048762959,0.016529336,0.007664561,89.45,-999,-999,-999,-999,0.004234874,0.000461328,0.000207597,89.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2002,2,1,28,0.050216943,0.013623313,0.005963582,96.48,-999,-999,-999,-999,0.004307848,0.00040396,0.000184146,96.48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
